id,pokemon_ability_id,effect,language,short_effect
301,301,,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",
302,302,,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",
303,303,,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",
304,304,,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",
305,305,,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",
306,306,,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",
307,307,,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",
308,308,,,
309,309,,,
310,310,,,
311,311,,,
312,312,,,
313,313,,,
314,314,,,
315,315,,,
316,316,,,
317,317,,,
318,318,,,
319,319,,,
320,320,,,
321,321,,,
322,322,,,
323,323,,,
324,324,,,
325,325,,,
326,326,,,
327,327,,,
328,328,,,
329,329,,,
330,330,,,
331,331,,,
332,332,,,
333,333,,,
334,334,,,
335,335,,,
336,336,,,
337,337,,,
338,338,,,
339,339,,,
340,340,,,
341,341,,,
342,342,,,
343,343,,,
344,344,,,
345,345,,,
346,346,,,
347,347,,,
348,348,,,
349,349,,,
350,350,,,
351,351,,,
352,352,,,
353,353,,,
354,354,,,
355,355,,,
356,356,,,
357,357,,,
358,358,,,
359,359,,,
360,360,,,
361,361,,,
362,362,,,
363,363,,,
364,364,,,
365,365,,,
366,366,,,
367,367,,,
368,368,,,
369,369,,,
370,370,,,
371,371,,,
372,372,,,
373,373,,,
374,374,,,
375,375,,,
376,376,,,
377,377,,,
378,378,,,
379,379,,,
380,380,,,
381,381,,,
382,382,,,
383,383,,,
384,384,,,
385,385,,,
386,386,,,
387,387,,,
388,388,,,
389,389,,,
390,390,,,
391,391,,,
392,392,,,
393,393,,,
394,394,,,
395,395,,,
396,396,,,
397,397,,,
398,398,,,
399,399,,,
400,400,,,
